artist,genre,lyric,date
부활,록/메탈,어느 순간부터 하늘이세상에 내리는 비인지눈이 부시어 두눈 감은 채잠든 사이로버스가 오지 않는오래된 거리 정거장에낡은 radio 예보에 없던 비가 내리네차창밖으로 스쳐가는낯선 이들의 시선들우연한 이 비처럼그리운 이 그리운 비가오네그 누가 지나쳐 갈 아스팔트위로얼마나 많은 시간들을내가 더 기다려야만 하나비가 오내 그 누가지나쳐갈 아스팔트위로너무나 많은 시간들을나는 기다리나내가 알 수 없을 순간너는 날 스쳐가겠지만낡은 radio 예보에 없던 비가 내리네차창밖으로 스쳐가는낯선 이들의 시선들우연한 이 비처럼그리운 이 그리운 비가오네그 누가 지나쳐 갈 아스팔트위로얼마나 많은 시간들을내가 더 기다려야만 하나비가 오내 그 누가지나쳐갈 아스팔트위로너무나 많은 시간들을나는 기다리나비가 오내 그 누가지나쳐갈 아스팔트위로얼마나 많은 시간들을내가 더 기다려야만 하나비가 오내 그 누가지나쳐갈 아스팔트위로너무나 많은 시간들을 ,2006.06.26
조혜련,댄스,아주 가라 너 아주 가날 버리고 그래 너 아주 가어차피 떠나야할 사랑이라면두번 다시 잡지 않아너 아주 가두번 다시 잡지 않아너 아주 가두번 다시 볼 필요 없지You played me backfrom the start역시 갈테면 가라고할 때는 언제고이제와서 나를 잡겠다고Now stop that glow갈때도 제발 뒤돌아보진 말아줘변명조차도 듣기 싫지Lost in love and lifegirl don't speak가라 가라 쿨하게 떠나라혼자여도 괜찮아 니가 없어도가라 가라 널 잡지 않을께행복하게 잘살아 내가 없어도이렇게 떠나가는 너를 보면서이렇게 보내야할 내가 미워서가지마 울면서 나 소리쳐 봐도아무 대답 없는 너인데 우 아아주 가라 너 아주 가날 버리고 그래 너 아주 가어차피 떠나야할 사랑이라면두번 다시 잡지 않아너 아주 가두번 다시 잡지 않아너 아주 가Look back in thepast now cast꿈만 같던 시절 너의 약속도나는 또 속고 이제는다 필요없어 girl아무것도 나 홀로Let's go get ready for돌로 상처보단Stay solo back oneone more time you seeLost in love and lifegirl don't sleep한때는 내 전부라 말을 했었어이제는 어차피 남이 되었지만가지마 울면서 나 소리 칠래도너를 찾아볼 수 없는데 우 아아주가라 너 아주 가날 버리고 그래 너 아주 가어차피 떠나야할 사랑이라면두번 다시 잡지 않아너 아주 가두번 다시 잡지 않아너 아주 가아주가라 너 아주 가날 버리고 그래 너 아주 가어차피 떠나야할 사랑이라면두번 다시 잡지 않아너 아주 가두번 다시 잡지 않아너 아주 가,2006.06.15
백지영,발라드,난 참 힘들었나봐 니가 없이도 잘 사는걸보면 많이 아파하며 울었던 날들이 아주 오래된 일인것같아 난 참 잘한것같아 웃는 시간이 점점 더 늘어가 하지만 가끔씩 아무 이유없이 잊은것 같았던 니 생각에 자꾸 눈물이 흘러 아무리 지우려 해도 바보같은 내 가슴이 상처뿐인 너의 기억을 버리지 못하나봐 미친듯 가슴 아파도 죽도록 힘이 들어도 너를 사랑할 수 밖에 없었던 내가 너무 싫어 난 참 게으른가봐 이별 조차도 혼자 못하나봐 니가 날 떠난후 시작도 못했어 너처럼 그렇게 니 모든걸 쉽게 잊을 수 없어 아무리 지우려 해도 바보같은 내 가슴이 상처뿐인 너의 기억을 버리지 못하나봐 미친듯 가슴 아파도 죽도록 힘이 들어도 너를 사랑할 수 밖에 없었던 내가 너무 싫어 나에 가슴 어딘가에 있는 널 세상 어디에도 숨길 곳이 없잖아 너없이 길을 걸어도 한 손엔 땀이 가득차 마치 너의 손을 잡은 것처럼 아무리 지우려 해도 바보같은 내 가슴이 상처뿐인 너의 기억을 버리지 못하나봐 미친듯 가슴 아파도 죽도록 힘이 들어도 너를 사랑할 수 밖에 없었던 내가 너무 싫어 바보같은 내 가슴에 미친듯 가슴 아파도 죽도록 힘이 들어도 너를 사랑할 수 밖에 없었던 이런 내가 너무도 싫어,2006.07.06
메이비 (Maybee),발라드,Baby I just wanna stay in your mind 참 쉬운 일인걸 알면서도 할 수 없단 걸 알아 왜 그렇게 주는 사랑만 해 It just don’t make sense to me 도대체 넌 왜 그래 항상 답답하기만 해 Oh my lover Just wanna say that I love 힘들겠지만 내 곁에 와주면 안되겠니 말도 안되지만 믿어 그녀와 헤어질 수 있잖아 너의 뒤에선 난 또 눈물짓지만 니 앞에선 난 항상 웃으며 다시 혼자서 하는 말 너를 사랑해 난 아픈 사랑을 하면서도 어쩔 수 없는 거야 더 줄 수 있는데 왜 몰라줘 It just don’t make sense to me 도대체 넌 왜 그래 항상 답답하기만 해 Oh my lover Just wanna say that I love 힘들겠지만 내 곁에 와주면 안되겠니 말도 안되지만 믿어 그녀와 헤어질 수 있잖아 너의 뒤에선 난 또 눈물짓지만니 앞에선 난 항상 웃으며 다시 혼자서 하는 말 너를 사랑해 It is deeper It is higher 왜 날 모르니 Oh my lover 내게 와줘 Just wanna say that I love 난 니가 좋아 언제나 기다려줄 수 있어 서둘지 않을래 알아 이제껏 참고 참아왔는데 너의 뒤에서 난 또 눈물짓지만 니 앞에선 난 항상 웃으며 다시 혼자서 하는 말 너를 사랑해,2006.04.06
쿨 (COOL),발라드,무엇 하나 잘하는 것 없는 나인데그런 나를 믿고 와준 고마운 사람후회하고 있는건 아닌지내가 싫어지는건 아닌지난 꿈만 같은 사랑으로 행복하지만그댄 왠지 힘들어 보여내 사랑아 고마워요나 같은 놈이랑 살아줘서내 사랑아 사랑해요이 마음 변치않아요나 때문에 잠 못 자고기다린 밤이 얼만지잠버릇이 고약해서편히 못 잤을텐데후회하고 있는건 아닌지내가 싫어지는건 아닌지난 꿈만 같은 사랑으로 행복하지만그댄 왠지 힘들어 보여내 사랑아 고마워요나 같은 놈이랑 살아줘서내 사랑아 사랑해요이 마음 변치않아요아이 아차 근데나 오늘도 좀 늦을 것 같아 ,2006.07.06
빅마마,"발라드, R&B/Soul",행복했어너와의 시간들아마도너는 힘들었겠지너의 마음을몰랐던 건 아니야나도 느꼈었지만널 보내는게널 떠나보내는게아직은 익숙하지가 않아그렇게 밖에 할 수 없던니가 원망스러워왜 말 안했니아님 못한거니조금도 날생각하지 않았니좋아한다며사랑한다며이렇게 끝낼거면서왜 그런말을 했니널 미워해야만하는 거니아니면 내 탓을해야만 하는 거니시간을돌릴수만 있다면다시 예전으로돌아가고 싶은 마음뿐이야왜 말 안했니아님 못한거니조금도 날생각하지 않았니좋아한다며사랑한다며이렇게 끝낼거면서왜 그런말을 했니널 미워해야만하는 거니아니면 내 탓을해야만 하는 거니시간을 돌릴수만 있다면다시 예전으로돌아가고 싶은 마음뿐이야그래 더 이상묻지 않을게내곁을 떠나고 싶다면돌아보지 말고 떠나가눈물은 흘리지 않을게괜히 마음만 약해지니깐내게서 멀어진니 모습이흐릿하게 보여눈물이 나나봐널 많이그리워할것 같아참아야만 하겠지잊혀질 수 있도록다시 사랑같은거하지 않을래내 마지막 사랑은돌아선 너에게주고 싶어서행복하길 바래나보다 좋은 여자만나기를,2003.02.06
엠씨더맥스 (M.C the MAX),발라드,믿지 못해 돌린 발걸음뒤로 멈춰버린 나의모습숨지못할 어둠속에 가둔내 모습조차 보이지않아이런 나를 찾아주길 원했지만너무 멀리 왔나봐하지만 이곳은 너무나 어두워길조차 보이지 않아혼자가 아닌 한 사람 그렇게나는 존재하며그 냉정한 잔인한 내 모습에나조차도 지쳐버린거야사람을 찾아 사랑을 만나사랑한 내가 미워내가원하던 너의 모습도지나친 기대였을까혼자를 바래 혼자로 남아홀로된 내가 있어이런내모습 보인다해도 모른척날 스쳐가우리가 아닌 너와 나그렇게 나는 외면하며잔인하게 냉정하게 살아가나조차도 날 버린거야잊지못할 돌린 발걸음 뒤에찾아온 내기억속에눈을 감아 지금 모든걸 듣는 채이곳에 난 묻어가혼자가 아닌 한사람그렇게 나는 존재하며그 냉정한 잔인한 내 모습에나조차도 지쳐버린거야사람을 찾아 사랑을 만나사랑한 내가 미워내가원하던 너의 모습도지나친 기대였을까혼자를 바래 혼자로 남아홀로된 내가 있어이런 내모습 보인다해도모른척 날 스쳐가우리가 아닌 너와 나그렇게 나는 외면하며잔인하게 냉정하게 살아가나조차도 날 버린거야사랑을 찾아 사랑을 만나사랑한 내가 미워니가그려낸 나란 환상도존재할 수 없나봐혼자를 바래 혼자로 남아혼자숨쉬고 있어이런 내모습 변한다해도 모른척날지켜봐 ,2006.08.18
BGH4,발라드,"이젠 없다고 믿을게 너란 사람 본 적 없다고 나를 달래는 혼잣말해도 너잖아 너 하나뿐이잖아 
하루하루 늘어가는 눈물속에 니 기억들이 사라지잖아 또 흐르잖아 
너를 닦아내도 소용없어 
널 사랑했는데 이럴 순 없는데 내가 받은 사랑 모두 어떡하라고 난 욕심이 많아서 널 사랑하는 법도 주는 법도 모르잖아 
내눈은 아직도 널 바라보는데 단 한번도 너를 잊지 않았는데 나를 안아줄 사람은 너라는걸 그렇게 믿고 살았는데 
끝내 너를 붙잡고서 울고 있을 나를 알기에 너를 밀쳐낼 용기를 달라고 수없이 똑같은 기도를 해봐도 
널 사랑했는데 이럴 순 없는데 내가 받은 사랑 모두 어떡하라고 난 욕심이 많아서 널 사랑하는 법도 주는 법도 모르잖아 
내눈은 아직도 널 바라보는데 단 한번도 너를 잊지 않았는데 나를 안아줄 사람은 너라는걸 그렇게 믿고 살았는데 
난 아직도 버리지 못한 니 사랑만 가슴에 담고 널 그리워하다 눈물로 지우고 다시 살아가 
사랑했는데 
너 보고싶을때 난 어떡해야해 미치도록 그리우면 나는 어떡해 잘가라는 인사로 아직 널 사랑하는 내맘 너는 버리려해 
그러지 말라고 제발 안된다고 아무것도 없는 너의 여자라고 나를 안아줄 마지막 남자라서 너만을 사랑해왔는데 
				",2006.09.08
TraxX (트랙스),록/메탈,"한참을 나는 어리석게도 잊으려고는 애쓰지 않았어 맘속에 위험하게 남은 욕심들을 더는 허락하지 마요 사람들이 모르게 혼자만 울 수 있겠죠 보내는 사람이 그러듯.. 이제 나에게 술에취한 밤들이 차라리 쉬울거라고 생각 없이 편히 잠들수 있으니까 얼마나 잠이 들었던건지 아침은 내게 의미가 없네요 사랑은 미워질때 더욱 아픈 것임을 이제 깨달은 걸요 사람들이 모르게 그댈 찾아가 보겠죠 버려진 사람이 그러듯.. 그립다 못해 열에 들뜬 날이면 미친척 비를 맞아요 멀쩡한 나라면 죽을것만 같아서 이젠 나를 모르겠죠 나처럼 약하진 않을사람이니 예전처럼 살순 있겠지 하지만 가슴이 비워진, 껍질뿐인 나인데 변해가는 모습 욕하지 마요 보내는 사람이 그러듯.. 이제 나에게 술에 취한 밤들이 차라리 쉬울거라고 생각 없이 편히 잠들수 있으니까 더이상, 미련 없네요 이젠 안녕 ",2006.07.18
별,발라드,사랑이 두려운가요 그 사랑이 아팠나봐요 다신 사랑 안할거라고 다짐했나요 안돼요 그러면 안되요 그러다 놓쳐요 고민하지 말아요 사랑은 좋은거에요 망설일 필요없이 사랑에 빠지게 화살을 쏘아줄께요 그대 가슴에 새롭게 (새롭게) 예쁘게 (예쁘게) 사랑은 또 시작될 거에요 혼자가 편하단 말로 사랑을 막았었나요 아니면 아직도 그대는 사랑을 몰라서 시작하는 법을 몰라서 눈치만 보나요 고민하지 말아요 사랑은 좋은거에요 망설일 필요없이 사랑에 빠지게 화살을 쏘아줄께요 그대 가슴에 새롭게 (새롭게) 예쁘게 (예쁘게) 사랑은 또 시작될 거에요 누구나 어렵다고들 말하죠 그래서 겁이 난다고 그래놓고 다시 누굴 찾잖아요 혼자는 외로우니까요 그대여 고민하지 말아요 내가 도와줄께요 그대 앞에 그 사람 그댈 사랑하게 화살을 쏘아줄께요 너무 빠져도 겁내지 (겁내지) 말아요 (말아요) 그대는 행복해질거에요 랄랄랄라 라라라 모두 사랑하세요 혼자인 사람 없게 외롭지 않게 화살을 쏘아주세요 누가 내게도 달콤한 (달콤한) 아찔한(아찔한) 그대 사랑을 나눠주세요 ,2006.05.11
