artist,genre,lyric,date
원더걸스,발라드,내 친구를 소개할게이 세상 많고 많은 친구 중에나를 지켜주는 멋진 내 친구약한 친구 미안나쁜 친구 안녕내 마음을 흔드는 강한 친구무뚝뚝한 아저씨가 아니에요우리의 든든한 강한 친구언제나 내 곁에 네가 있어나의 마음 사로잡아요Army Army Army 좋아우리들의 강한 친구 네가 좋아Army Army Army 좋아우리들을 지켜주는 너만을I love you ,2008.02.21
먼데이 키즈 (Monday Kiz),발라드,한 발자국을 못 가 멈춘다시 한 발자국 못가 멈춘몇 걸음 다시 떼다멈춘 가슴이 울다떠나간 니 발자국 따라 몇 번 울다또 다시 멈춘 채로 몇 번 울다도대체 나는 몇 번이나 울다눈에는 또 눈에는눈물이 가득차서 흐르다가한걸음을 내밀고 두 걸음에도마지막 발걸음에도떨어지지 않는이 발보다 그대를 못 잊어서또 다시 한마디를 내뱉고두 마디에 난 그대를 보내네새하얗게 새하얗게 너를 보내토라져버린 맘을 돌려 너를 보다또 다시 고갤 돌려 너를 보다이렇게 너를 몇 번이나 보다끝내도 또 끝내도내 발이 내 마음이 그댈 찾아한걸음을 내밀고 두 걸음에도마지막 발걸음에도떨어지지 않는이 발보다 그대를 못 잊어서또 다시 한마디를 내뱉고두 마디에 난 그대를 보내네새하얗게 새하얗게 너를 보내아니라고 잊었다고아픔을 참고 보내도그리운 맘에 발길이돌아서도 못가고애타게 그 이름을불러도 모르잖아한사람은 외로워두사람으로 영원히 함께 하자고손가락이 했던그 약속도 여전히 못 잊어서또 다시 한글자를 내뱉고두글자에 난 사랑을 말하네너를 두고 너를 두고 내가 간다한걸음을 내밀고 두 걸음에도마지막 발걸음에도떨어지지 않는이 발보다 그대를 못 잊어서또 다시 한마디를 내뱉고두 마디에 난 그대를 보내네새하얗게 새하얗게 너를 보내 ,2008.03.31
백지영,발라드,너도 별 수 없나 봐다를 줄 알았었는데내 마음 모두 갖고 나니까떠나가잖아결국 그럴 거면서왜 나를 사랑하는 척 했어까맣게 몰랐잖아이런 사람일 줄아냐 사랑한 댔어변치 않을 마음이랬어가슴이 우길수록눈물은 더 흘러내려사랑 따윈 다 잊을래너 따윈 다 지울래오늘은 네 뒤에서울고 있지만두 번 다신 안 울어두고 봐 언젠간 나를 버린 걸매일 가슴 치면서꼭 후회하도록그렇게 만들 거니까지금보다 천 배 더눈부시고 행복해져서보란 듯 너의 앞에설 수 있는 그 날까지사랑 따윈 다 잊을래너 따윈 다 지울래오늘은 네 뒤에서울고 있지만두 번 다신 안 울어두고 봐 언젠간 나를 버린 걸매일 가슴 치면서꼭 후회하도록그렇게 만들 거니까그땐 나를 보아도아는 척하지는 마난 널 잊었으니까사랑 같은 거 난 몰라너 같은 거 난 몰라지금은 날 버리고떠나가지만 두고 봐지난 날의 난 잊어줘머지않아 지금 날 놓친 걸쓰린 눈물 삼키며꼭 후회하도록그렇게 만들 거니까꼭 돌아오도록그렇게 만들 거니까 ,2008.03.27
이승기,발라드,희미해지는 지난 추억 속의 그 길을이젠 다시 걸어볼 순 없다 하여도이내 가슴에 지워버릴 수 없는그때 그 모든 기억들그대의 사랑이 지나가는 자리엔홀로된 나의 슬픔 고독 뿐그때가 다시 올 순 없어도지나간 추억만은 영원히다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 사랑 뿐다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 기억 뿐희미해지는 지난 추억 속의 그 길을이젠 다시 걸어볼 순 없다 하여도이내 가슴에 지워버릴 수 없는그때 그 모든 기억들그대의 사랑이 지나가는 자리엔홀로된 나의 슬픔 고독 뿐그때가 다시 올 순 없어도지나간 추억만은 영원히다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 사랑 뿐다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 기억 뿐다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 사랑 뿐다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 기억 뿐다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 사랑 뿐다시 돌아올 수 없는 사랑에홀로 돌이켜본 추억은다만 아름답던 기억 뿐,2008.03.24
장나라,발라드,쓰린 눈물을 삼키며 웃음을 지어소리 내어 울 수 조차 없는 밤가슴에 담아 가슴에 담아내말없는 눈물로 그린다누구도 알 수 없도록 숨기고누구도 들을 수 없게 숨죽여할퀸 자리에 네가 베어낸 곳에지울 수 없는 흉터 되어아파서 아파서소리 내어 불러도버려진 메아리만 남아죽을 만큼 아파서입술을 깨물어 봐도이렇게 새어 나오는 슬픔만차디차게 보는 너의 눈빛이갈 곳 잃은 날 내쳐 쓰러지게 해이제는 그만 이제는 그만 날더 이상은 아프지 않게덜어낼 수 없는 상처를 안고떨쳐낼 수 없는 흉이 되어서할퀸 자리에 네가 베어낸 곳에곪아버린 내 사랑만이아파서 아파서소리 내어 불러도버려진 메아리만 남아죽을 만큼 아파서입술을 깨물어 봐도이렇게 새어 나오는 슬픔만벗어낼 수도 없는 나였던 너란 사람잘라내려 떨구려 몸부림 쳐도하늘을 가릴 넘치는 눈물이 되어날 뒤덮으려 해숨도 쉬지 못하게아파서 아파서소리 내어 불러도버려진 메아리만 남아죽을 만큼 아파서입술을 깨물어 봐도이렇게 새어 나오는 슬픔만아파서 아파서소리 내어 불러도버려진 메아리만 남아죽을 만큼 아파서입술을 깨물어 봐도이렇게 새어 나오는 슬픔만 ,2008.03.25
먼데이 키즈 (Monday Kiz),발라드,니가 그리워 나를 버린 니가너무나 미워내 아픔 슬픔에 비해쓰디쓴 술 한잔은 부드러워이제는 짙은 어둠만이 나를 드리워니가 그리워 나를 버린 니가 미워내 아픔 슬픔에 흐르는눈물이 안쓰러워이제는 짙은 어둠만이 나를 드리워사랑도 이별도 아린 상처까지도모두 다 안겨준 고마운 사람날 보던 미소도 아름다운 기억도내게서 다 가져간 그대란 사람Too far away 멀어진 사랑아날 떠난 사랑아 왜 내게 아픔들만Don't go away 오늘도 그대만찾아 찾아 날 떠나지 말아 제발눈물에 미움에 그댈 원망 해봐도여전히 그대만 사랑할 사람추억에 향기에 미칠것만 같아도한숨에 다 보내고 죽어갈 사람못 잊을 사람Too far away 멀어진 사랑아날 떠난 사랑아 왜 내게 아픔들만Don't go away 오늘도 그대만찾아 찾아 날 떠나지 말아 제발여전히 너는 나의 darling허나 이제는 갈린 그런 사이내 모든 것들을 가지고 떠나가슬픔 too far away슬픔은 day by day흐르는 눈물은 절대로멈출수가 없어can't stop가슴은 널 원해 아직까지도그러나 두 눈은 널 보내정말 바보같이도눈물로 덧칠해 미소는 겉치레슬픔이 걷히게 오늘도 미쳐 소리쳐가슴으로 외쳐아직도 바래 원해잊으려고 애를 써도난 이제 안돼 버리지 못해 널Too far away 멀어진 사랑아날 떠난 사랑아 왜 내게 아픔들만Don't go away 오늘도 그대만찾아 찾아 날 떠나지 말아 제발Too far away 이러지 말아줘날 놓지 말아줘 이대론 살수없어Good bye away 그 말만 말아줘안돼 안돼 날 버리지 말아 제발니가 그리워 나를 버린 니가 미워 ,2008.03.31
박명수,발라드,너무 걱정하지는마보란듯이 살아 볼거야후회는 사치일 뿐이야다시 시작해볼게나 어제 또 울었어나 어제 또 슬펐어왜 이런 바보를 사랑한거니니 마음이 예뻐서니 사랑이 고마워이젠 니 손을 잡고다시 태어날거야바보도 사랑합니다보내주신 이 사람이제 다시는 울지 않을겁니다나 이제 목숨을 걸고세상 아픔에서 지켜낼게요이 사람을 사랑합니다널 위한다는 그 이유로너를 보낼 뻔했어나 그렇게 바보야넌 내 사랑 바보고서로를 많이도 울게했었지니 사랑이 없다면널 만날 수 없다면아마 나는 평생을 후회하며 살거야바보도 사랑합니다보내주신 이 사람이제 다시는 울지 않을겁니다나 이제 목숨을 걸고세상 아픔에서 지켜낼게요이 사람을 널 위해 노력해볼게널 위해 살아갈게나약한 마음따윈 모두 버릴게우리의 사랑을 위해너의 손을 잡고 놓지않을게사랑하는 내 사랑 바보야 ,2008.04.04
에픽하이 (EPIK HIGH),랩/힙합,ONE  Time is tickin′ T Time is  tickin′ tickin′  Time is tickin′ T Time is  tickin′ away  그대 눈물이 볼에 쏟아지는걸  이유 없이 쏟아지는걸  아무도 모르죠 심장 속에  유리조각 폭풍이 몰아치는걸  상처가 병이 돼서 모든 문이  벽이 돼서  거울속의 내가 적이 돼서 아프죠  아무도 그댈 모르게 가두고  숨을 조르게 놔두고  끝을 고르게 만들죠 참 나쁘죠  이 세상 속에 설 이유 없앴죠  돌아 갈 길을 선택도 없이  마냥 걷겠죠  네 마음보다 그대 숨이  먼저 멎겠죠  상처 흉터 눈물이 흐르고  죽음 속을 헤매던 널 내가  구해줄게  You are the one  어둠속을 걷고 있을 때  어둠속에 니가 사로잡힐때  내 숨이 같이해  넌 나의 구원  내게 손을 건네준 그대  세상속에 문이 네게 닫힐때  내손을 바칠게  you are the one 넌 나의 구원  you are the one 넌 나의 구원  you are the one 넌 나의 구원  나의 구원  Time is tickin′ T  세상에 불을 지른 그대 손이죠  사람들의 눈가림은 그대 몫이죠  그대 눈에 비추던 고통이란  별이 그대 도시죠  아직도 꿈을 베나요 숨을  세나요 쏟아버린 눈물  깊이를 재나요  희망은 가라앉는 종이  배인가요 슬프죠  혹시 밤에 땀에 흠뻑 젖어  깨나요 양심이 땅에 기며  버벅 되나요  끝이라고 생각되나요 괜찮아요  ′cause I understand  내가 고장난 그 몸의 흉터  산산조각난 그 혼의 숨겨버린  눈물도 지워줄게요  그대 손을 내 손에 움켜쥐고  믿어줄게요  상처 흉터 눈물이 흐르고  죽음 속을 헤매던 널 내가  구해줄게  You are the one  어둠속을 걷고 있을 때  어둠속에 니가 사로잡힐때  내 숨이 같이해  넌 나의 구원  내게 손을 건네준 그대  세상속에 문이 네게 닫힐때  내손을 바칠게  you are the one 넌 나의 구원  you are the one 넌 나의 구원  you are the one 넌 나의 구원  나의 구원  상처가 있나요 흉터가  있나요 어둠속에서 헤매고  있나요  상처가 있나요 흉터가 있나요  Faith Destiny Love  you′re still beautiful to me  You are the one  어둠속을 걷고 있을 때  어둠속에 니가 사로잡힐때  내 숨이 같이해  넌 나의 구원  내게 손을 건네준 그대  세상속에 문이 네게 닫힐때  내손을 바칠게  Time is tickin′ T Time is  tickin′ tickin′  Time is tickin′ T Time is  tickin′ tickin′  Time is tickin′ T Time is tickin′ away나의 구원ONE ,2008.04.17
이루,발라드,하루가 다르게 멀어져 가이 무대 위에서 눈물이 앞을 가려도이품에 기대서 세상을 피해서걸어왔어 누굴 위해서 고통에 비해서덧 없는 환호성에 취해서돌아봐도 한숨 뿐인시간의 벽 앞에 서 있는 나를 찾네나를 달래 어디로 갈래갈림길에 놓인꺼져가던 초인 나는음악에 고인 작은 샘 안에 소인지금 슬픈 내 모습은 무대 뒤 한 소녀애써 눈물 참으며 바라보고 있네무대 뒤에 그 소녀는 작은 의자에 앉아두 손 곱게 모으고 바라보며 듣네나의 얘기를소녀는 나를 알기에 더더욱 슬퍼지네노래는 점점 흐르고소녀는 울음을 참지 못해밖으로 나가 버리고I walk up on stageThe whole crowd goes crazyThe lights blazeI'm feelin so amazinA bit strangeand I can't explain itAnd when the beat stops manI can't take itI wanna keep movingtill my time is throughAnd as I rock up on the micI got my eyes on youSo I keep goingtill the last beat dropsAnd I'm hoping that this monent gonna go non stop내가 노래 하는 건세상을 벗어나는 것온갖 풍파에도비바람을 이겨내는 것내가 랩을 하는 건아픔을 이겨내는 법세상에 비친 선과 악에 눈을 감는 것내 몸과 마음과 꿈과사랑을 꿈꾸는 그대와같이 느끼는 무대 위 너와 내가오늘도 사랑에미쳐서 난 노래 불러날 위해 기도한소녈 위해 노래 불러소녀는 나를 알기에 더더욱 슬퍼지네노래는 점점 흐르고소녀는 울음을 참지 못해밖으로 나가 버리고노랜 끝이 났지만이젠 부르지 않으리이 슬픈 노래 ,2008.03.28
휘성 (Realslow),댄스,나와 있을 땐 음악을 꺼나와 대화를 해줘 darlinghandle처럼요리저리 끌고 가지는 말아요너와 있을 때 음악은 killing mood키스 하기 전의 appetizer아무것도 넌 모르면서그냥 나를 믿고follow metrunk안에 맥주 대신나의 사랑을 담아서로의 옆자린 서로만이sit only love seatoh love oh lovemy love love loveoh love oh lovemy love love love나와 있을 때 시선 고정나만 바라 보라구요driving은 나를 위한 u turnsmooth하게 cornering너와 있을 때 미소는 hidden card사랑한단 말의 dessert라고백미러의 시선은널 지키기 위한 눈빛u believe me항상 내 곁에 있어줘요항상 네 곁에 있을게요항상 내 품에 잠들어요항상 네 품에 잠들게요trunk안에 맥주대신나의 사랑을 담아서로의 옆자린 서로만이sit only love seatoh love oh lovemy love love loveoh love oh lovemy love love love너를 원해너를 원해너를 원해너를 원해다음에 또 만나 다음에 또 봐요다음에 꼭 만나꽃다발을 준비할게다음에 또 만나 다음에 또 봐요다음에 다음에 다음에 꼭 만나 ,2008.04.01
