artist,genre,lyric,date
이수영,발라드,아쉬운 것 없이 무딘 사람인 척 미련없이 보내놓고 남은 사랑만큼 고통들도 웃음 뒤에 숨겨놓았어 그깟 한 사람따윈 떠난 건 나 사는 동안 가끔 걸리는 한낱 열병일뿐 함께했던 날들도 곧 흉터 하나없이 아무는 가벼운 상처자국이지만 지친 내 하루의 끝에 거울이 비춘 깊이 패인 상처에 난 눈물만 덩그러니 너무 그리워서 몰래 한 번 그 이름 부른 뒤 다시 가리는 얼굴 이별해서 내게 자유로와진 척 이리저리 바빠지고 잊기 힘들어서 아픈 추억들을 농담처럼 늘어놓았지 그깟 한 사람따윈 떠난 건 나 사는 동안 가끔 걸리는 한낱 열병일뿐 함께했던 날들도 곧 흉터 하나 없이 아무는 가벼운 상처자국일뿐 지친 내 하루의 끝에 거울이 비춘 깊이 패인 상처에 난 눈물만 덩그러니 너무 그리워서 몰래 한 번 그 이름 부른 뒤 다시 가리는 얼굴 널 보낼 수 없는 날 알면서날 믿는다 떠난 너이제 조금씩 허술해진 가면흘러내려 흉한 날 보겠지그때쯤엔 조금이라도아물어져 있어서널 보면 숨지 않기를그때쯤엔 한 번 너의 눈바라볼 수 있도록 날 알아봐줘그때쯤엔 두 번 다시는그 누구에게라도상처주지 말아줘,2003.08.21
DJ DOC,랩/힙합,아무도물을 주지 않아도봐주지 않아도해가 뜨지 않는어두운 골목에서도외로워도 슬퍼도 힘이 들어도그 누가 날뭐라 하더라 도난 뿌리깊은 잡초기나긴 시간을 비바람과싸워이긴 야생초그렇게 살아왔기에이겨낼 수 있다네이게 바로내 인생이기에길거리에 많고 많은건물들 중에그 안에 내꺼라곤하나도 없다네턴테이블 하나M I C 하나그리고 buda지금 내가 가 진건이것뿐이지만시간은 많아내겐 아직 이루지 못한꿈이 남아 있어저기 하늘 위눈부신 태양처럼내 미래는 밝아street lifeI know this is just my wayStreet lifefeel likeI cannot go onstreet lifeYes I can makemy own wayStreet lifeI won't cryI will rock on오늘도이 거리를 느끼며펜은 종이위를 스치며내 가슴에 불을 지피며비트에 발걸음 옮기며시작된 음악의거리가 춤추네내 표현 하나에가로수는 열광해모두 한번 더라고외치네나를 거리에서볼 수 없는 건내가 세상에존재하지 않는 것 yo음악이 내 길이 요거리에서얻는 진리요 yoS T R E E T 는곧 내 L I F E거리에서 핀 꽃D O C 가 내뿜는M U S I CStreet lifeI know this is Just my waystreet lifeFeel likeI cannot go onStreet lifeyes I can makeMy own waystreet lifeI won't cryI will rock on yo이리 치이고저리 치이고비록 이 세상이 날 힘들게 하더라도Money zero 라도빈티는 no street lifeIt's the only lifeI know모스키토 같은그전 매니저여기 가슴이 아닌잔머리로일생을 살아가시는이런 계산기같은불쌍 한심한인간들이여넌 사업가가아닌 사기꾼음악을 돈으로생각하는 장사꾼당신들에게하고 싶은 한마디나이값 좀 하시지나 비록 getto 라도당신들같이살긴 싫어언제나 초심으로일년이 가고십년이 가도난 항상 이 자리에오늘도 종이와펜을 들고서거리로 나서는나의 발걸음은내가 살아가 는 이유내가 살아남은 이유모두가내 겉모습을 봐그 보다 들어봐내 rhyme 과탁탁찍어가는내 flow 속의 soul을한번 느껴봐S T R E E T 는곧 내 L I F E일년이 가고십년이 가도난 항상 이 거리에Oh baby street lifeI know this is Just my waystreet lifeFeel likeI cannot go onStreet lifeyes I can makeMy own waystreet lifeI won't cryI will rock onStreet lifeI know this is Just my waystreet lifeFeel likeI cannot go onStreet lifeyes I can makeMy own waystreet lifeI won't cryI willRock onstreet life-,-
보아 (BoA),댄스,어떤 마음으로 전할까 난 너에게 너를 그려왔던 설레임 난 기다렸어 지나버린 시간 함께 할 순 없어도 이젠 너에게 줄 내가 가진 그 수많은 날들나를 스쳐가는 바람이 내게 말해주네 문득 가까워진 계절을 여기 불러왔어 다시 가고 싶어 세상을 모르던 시절 이젠 내게로 올 세상에 비친 나의 모습언젠가 소중함 마저 잃어버린 채 난 어른이 돼 버렸지 yeah- I need you 언제나 내 곁에 있어줘 나를 놓치지 말아줘 까만 밤 내안에 펼쳐진 세계로 꿈은 반짝이고 있어 어디론가 그렇게 흘러가지 on my milky way 나의 작은 손을 내밀어 너를 부를때 언제라도 같은 자리에 넌 기다렸지 내게 속삭이던 너만의 비밀의 약속 같은 시간속에 함께 하길 원했던 거야 지금 가만히 귀를 기울여 기다려왔던 저 같은 날의 노래를 I believe 우연한 사랑을 찾았던 나를 지켜보고 있었지 언제나 만날 수 있었던 곳에서 너를 기다리고 있어복잡한 세상속에 갇힌 채 손이 닿지 않아 난 두려웠어 하지만 계속 가도 되겠지 새로운 나날의 시작으로 I need you 언제나 내곁에 있어줘 나를 놓치지 말아줘 까만 밤 내 안에 펼쳐진 세계로 꿈은 반짝이고 있어I believe 우연한 사랑을 찾았던 나를 지켜보고 있었지 언제나 만날 수 있었던 곳에서 너를 기다리고 있어 어디론가 그렇게 흘러가지 on my milky way,2003.05.31
김정훈,발라드,서둘러 널 잊기로 했어 모든건 세월에게 맡길래 다시와 왜 내 맘을 흔들어 놓고 내 품에 안겨 그를 못잊어 한때는 아파도 좋았어 곁에 있단 믿음 하나만으로 하지만 이젠 너를 잡진 않을래 떠날 준빌한채 날 만난 너야 사랑해서 널 잊기로 했어 미워하는 마음이 생길까봐 두려워 사랑해 너를 사랑해 함께 하길 빌던 난 기도도 다 거뒀어 기대는 오래전 버렸지 해주고픈 일도 이미 묻었어 닦아도 차오르는 이 눈물처럼 사랑의 욕심은 끝이 없나봐 사랑해서 널 잊기로 했어 미워하는 마음이 생길까봐 두려워 사랑해 너를 사랑해 함께하길 빌던 난 기도도 다 거뒀어 한번 떠난 사랑은 처음처럼은 안돼 다신 내 것이 될순 없어 사랑하는 사람은 사랑했던 그만큼만 숨을쉬어 사랑해서 널 잊기로 했어 미워하는 마음이 생길까봐 두려워 사랑해 너를 사랑해 함께하길 빌던 난 기도도 다 거뒀어 니가 내게 다시 돌아오던 날 널 보낼 준비를 했어 Love you- 너를 잊을 준빌 했어 -,2003.08.21
표건수,국내드라마,,2003.08.06
피아 (PIA),"인디음악, 록/메탈",그날 또 저무는 햇살에 떠오른 차갑게 숨쉬는 네 미소날 흔들고 지치게 한 건 네 생각과 또 그 상념과 또 혼돈다시 외로운 거리에 홀로된 버려진 우울한 사람들 속에서 너 혼자 남아 슬퍼 울지마 나 같이 떠나 그곳으로제발 이제 그 날을 슬퍼 말아줘 이제 다시 함께 해 우리 영원히제발 이제 그 날을 슬퍼 말아줘 이제 다시 함께 해 우리 영원히그땐 이미 아름다운 거리의 밤이 조용히 사라진 후였어그건 여리고 흐트러진 내 상처와 또 그 아픔과도 같아이제 의미 없는 웃음에 물든 도시와 사람들을 떠나나 슬픔을 접을 때 기억해줘 저 하늘 그곳에서제발 이제 그 날을 슬퍼 말아줘 이제 다시 함께 해 우리 영원히제발 이제 그 날을 슬퍼 말아줘 이제 다시 함께 해 우리 영원히깊은 슬픔 그날의 초대 이제 내 손을 잡아 내 손을 잡아이제 다시 함께 해제발 이제 그 날을 슬퍼 말아줘 이제 다시 함께 해 우리 영원히제발 이제 그 날을 슬퍼 말아줘 이제 다시 함께 해 우리 영원히우리 영원히 우리 영원히 우리 영원히 나 약속해 ,2003.08.09
은지원,랩/힙합,"오오오오오오 내게 돌아와줘 ",2003.09.05
조용필,성인가요,바람이 창문을 흔드네닫혀진 커튼을 걷으며눈물겹게 사랑한다고이 말이 하고 싶네검은 유리창에 비치는젖어있는 나의 그림자지난 날들의 추억 속 에서흔들리는 불꽃기쁨이 그리움이 슬픔이함께 있고 싶은 사랑이가슴깊이 저리는 밤 눈을 감네그대 모습 더 가까이 보기위해아득한 밤 하늘 저 너머속살 같은 별빛 하나가울지 말라고 울지 말라고깜빡이고 있네기쁨이 그리움이 슬픔이함께 있고 싶은 사랑이가슴 깊이 저리는 밤 눈을 감네그대 모습 더 가까이 보기위해가슴 깊이 저리는 밤 눈을 감네그대 모습 더 가까이 보기위해 ,2003.09.03
서진영,"발라드, 국내드라마",나 어쩌면 좋아요 자꾸 당신 생각이 나네요..내가 이러면 안되는데..내 마음을 나도 모르겠어요 내가 왜 이러나요 자꾸 당신이 보고싶네요 정말 이러면 안되는데..내 마음이 자꾸 흔들리네요 왜 이제서야 내게 왔나요너무나 그대를 기다렸는데..이제 숨기지 않을래요가슴이 시키는대로..언제까지 그대를 사랑해요..이젠 걱정말아요 이렇게 내가 옆에 있잖아요 나도 믿기지 않을만큼 너무나 그댈 원하니까요 왜 이제서야 내게 왔나요 너무나 그대를 기다렸는데..이제 숨기지 않을래요 가슴이 시키는대로..언제까지. 이런게 사랑이였군요 바로 이게 사랑이었었군요 괜찮아요 걱정말아요 내가 당신을 지켜줄께요 이제 나 어디에도 가지 않아요..이렇게 당신 곁에서..언제까지 숨쉬고 있을께요..,2003.08.06
체리 필터,"인디음악, 록/메탈",난나 나나난나 난나나 난나 나나난나 난나나 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 나는 꿈을 꾸었죠 네모난 달이 떴죠 하늘위로 올라가 달에게 말을했죠 늦은밤 잠에서 깨어 날개를 흔들었죠 오리는 날수없다 엄마에게 혼났죠 이제는 하늘로 날아갈래요 하늘위 떠있는 멋진 달되고 싶어 날아올라 저 하늘 멋진 달이 될래요 깊은밤 하늘에 빛이 되어 춤을 출꺼야날아올라 밤하늘 가득 안고 싶어요 이렇게 멋진 날개를 펴 꿈을 꾸어요 난 날아올라 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 나는 꿈을 꾸었죠 달님이 말을 했죠어서 위로 올라와 나와 함께 놀자고 늦은밤 잠에서 깨어 날개를 흔들었죠 엄마도 날수없다 오늘도 혼이났죠 이제는 하늘로 날아갈래요하늘위 떠있는 멋진 달되고 싶어 날아올라 저 하늘 멋진 달이 될래요 깊은밤 하늘에 빛이 되어 춤을 출꺼야날아올라 밤하늘 가득 안고 싶어요 이렇게 멋진 날개를 펴 꿈을 꾸어요 난 날아올라 날아올라 날아올라 저 하늘로 깊은밤 하늘에 빛이 되어 춤을 출꺼야 날아올라 날아올라 날아올라 저 하늘로 이제는 날개를 활짝펴고 날아갈꺼야 날아올라 저 하늘 멋진 달이 될래요 깊은밤 하늘에 빛이 되어 춤을 출꺼야 날아올라 밤하늘 가득 안고 싶어요 이렇게 멋진 날개를 펴 꿈을 꾸어요 난 날아올라 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈 쭈쭈쭈,2003.09.04
