artist,genre,lyric,date
휘성 (Realslow),R&B/Soul,"그댈 처음 봤을 때 자꾸 가슴 설레이는 느낌 때문에 나도 몰래 말해 Sexy my lady 뒷모습도 누구도 따라 올 수 없는 아찔한 Line 머리 속에 가득 차오네 It’s adrenalin 딸깍 구두소리 반짝 내 두 눈이 No 그 걸음을 따라 쫓아가 Baby, Look at me oh 제발 원래 이런 사람 난 아니죠 깃털처럼 난 가벼운 사랑 못하죠 You trust in me oh 제발 내 말을 믿어줘요 솜털처럼 난 포근한 그댈 안고 싶어요 내게 느껴지네 Yes 살며시 다가오는 그대 숨소리에 고개 돌려 바라보니 Baby my shy boy 뜨거운 눈빛에 난 끌리네 그댄 조심스럽게 내게 속삭이네 들린 그 목소리 떨린 내 발끝이 No 그대 품에 내가 안겨가 Baby, Look at me oh 제발 원래 이런 사람 난 아니죠 깃털처럼 난 가벼운 여잔 아니죠 You trust in me oh 제발 내 말을 꼭 믿어줘요 솜털처럼 난 포근한 그댈 안고 싶어요 첫 눈에 반하는 이 느낌 나 조금은 어색하지만 첫 눈처럼 반가운 설레임 날 믿고서 이젠 말해줘요 내겐 It’s ok! Baby, Look at me oh 제발 원래 이런 사람 난 아니죠 깃털처럼 난 가벼운 사랑 못하죠You trust in me oh 제발 내 말을 믿어줘요 솜털처럼 난 포근한 그댈 안고 싶어요 Baby, Look at me oh 제발 원래 이런 사람 난 아니죠 깃털처럼 난 가벼운 여잔 아니죠 You trust in me oh 제발 내 말을 꼭 믿어줘요 솜털처럼 난 포근한 그댈 안고 싶어요 ",2005.09.21
동방신기 (TVXQ!),발라드,"짓말이죠 시간이 그댈 잊게 한단 말이별의 아픈 마음은 조금 무뎌졌지만 그댈 향한 나의 맘 여전히 그대로인데 
쉬울 거란 생각 안 했지만 많은 시간이 흘렀어도니가 없는 건 낯설기만 해 
아직 사랑하는데 아직 널 원하는데그대 없이 난 괜찮아 질 수 없는걸 미련하게 보여도 이게 나인걸 나조차 몰랐죠 그대만 그리워 하죠
거짓말 그건 거짓말이죠 이제는 그댈 잊고 산단 말 내 모습 초라할까 봐 알량한 자존심에 그저 해본 말일뿐 그대를 잊은 적 없죠
맘에 안든 버릇 떠올리며잊어보려고 애를 써도 그 모습마저 그리워지는.. 
아직 사랑하는데 아직 널 원하는데그대 없이 난 괜찮아 질 수 없는걸 미련하게 보여도 이게 나인걸 나조차 몰랐죠 그대만 그리워하죠
난 멈춘 적 없죠 그댈 사랑하는 맘 한번도 변한 적 없었죠 (변한적 없었죠)아뇨 점점 커져만 가는 사랑만큼 내 맘도(내 맘도) 단지 함께했던 그 시간만 가만히 멈춰버린걸 oh- 
작은 내 품 안에서 힘들었을 그대를보낸 뒤에야 헤아려 볼 수 있는걸 But I love you everyday 늘 그랬듯이 여전히 그대만 (처음처럼) 기다리고 있는 내게 See you once again my love - ",2005.09.12
동방신기 (TVXQ!),발라드,저 하늘을 가려줘 네가 떠나갈 때 어두워져 떠날 수 없게 저 태양을 숨겨줘 네가 돌아올 때 나의 모습 초라할까 봐 약속했던 그 시간에 그 곳에 앉아서 생각하고 또 해도 사랑하는 그 맘 하나로 그대와 함께 할 순 없는 건가요 내 머릿속을 모두 지워도 주체 할 수 없이 떠오르는 네 모습 아픈 기억들 슬픈 눈물로 잊어도 네 모습은 선명해 내 가슴속을 모두 비워도(비워도) 주체 할 수 없이 저며 드는 추억이 너무 슬퍼서 너무 아파서 내 눈엔 너 하나만 떠올라 내 머릿속을 모두 지워도 주체 할 수 없이 떠오르는 네 모습 아픈 기억들 슬픈 눈물로 잊어도 네 모습은 선명해 내 가슴속을 모두 비워도 주체 할 수 없이 저며 드는 추억이 너무 슬퍼서 너무 아파서 내 눈엔 너 하나만 떠올라 -,2005.09.12
휘성 (Realslow),R&B/Soul,믿음이란 흔한 감정을 모르고 자라온 날이 많아 처음 받던 함성도 나는 믿기 싫었죠 나보다 더 나를 사랑한다는 마냥 꿈 같은 말 감히 듣고도 잊을 만큼 나는 바보였는데 모자란 너무 모자란내겐 어색한 내 노랫소리가 많은 사람들을 모아 나를 세우던 그날커다란 너무 커다란 나 아직 모르던 그 기쁨에 내 모든 게 변해버렸죠 커다란 너무 커다란 ,2005.09.21
프리스타일,랩/힙합,지금부터 시작되는 나의 beat 삶이라는 목적지로 같이 떠나는 길 힘이 들면 내게 말해봐 언제든지 세상을 벗어버려 얼마든지 직장 상사가 가만두질 않아 사랑하는 그 사람이 돌아오지 않아 누구나가 힘든 세상안에 사네 이럴 때는 나를 불러 say dj 생각이 너무 많아 쉬고 싶어 가끔은 미친 듯이 달려보고 싶어 멈추면 안돼 집에 들어갈 때 기지개를 펴고 힘든 일도 즐겁게 울지 말자 모든 일은 하늘의 뜻 나와함께 즐긴다면 고민은 끝 그대로 쭉 밀고 나가버려 시치미 뚝 떼고 웃으면서 모두 함께 큰소리로 hey DJ 이 음악을 느껴봐 hey DJ say (back to the old skool) hey DJ (what) can you feel it yes yes yo on and ond to the break a dawn i like to party rock the party (you like to party rock the party) i like to party rock the party (we like to party rock the party) say make money money make money money money (make money money make money money money) say take money money take money money money (take money money take money money money) 생각은 좀 그만하고 놀아볼까 고개를 위아래로 흔들어보자 닫혀있는 너의 귀를 뚫어 줄께 가슴에 담아둔 너의 한을 풀어 줄께 디제이가 만드는 fantastic play 이제부터 외로움은 나와 함께 하늘위로 높이 올라 날아갈게 we like the party rock the party 밖으로 나가지마 그자리에 stop 발검음 멈추고서 리듬을 타 땀으로 너를 씻어내 몸속에 깊숙하게 찌든 너의 삶을 쏟아내 비트를 밟고 올라 목소리를 들어 차분하게 내가 지금 시키는데로 선택은 없어 맘이 가는데로 그리고 큰소리로 나를 불러 hey DJ 이 음악을 느껴봐 hey DJ say (back to the old skool) hey DJ (what) can you feel it yes yes yo on and ond to the break a dawn hey DJ 이 음악을 느껴봐 hey DJ say (back to the old skool) hey DJ (what) can you feel it yes yes yo on and ond to the break a dawn i like to party rock the party (you like to party rock the party) i like to party rock the party (we like to party rock the party) say make money money make money money money (make money money make money money money) say take money money take money money money (take money money take money money money) hey DJ -,2005.10.05
소냐,발라드,머릴 감지 않아도 나 오후 늦게 일어나도 상관없겠죠 눈을 뜨는 일조차 이제는 귀찮기만한데 어떻하나요 한걸음 나의 자릴 옮기면 그때는 나의 전불 잃을 것 같아 안돼요 이 말을 못하죠 더 멀어지게 될 이유될까봐 외우고 다시 또 지우고 중얼대듯 살아요 내 한 뼘도 다 안될 작은 나의 가슴에 그대를 묻고 말해주지 않아도 난 알고있죠 그대 안에 다른 사랑을 그댈 보내주는 일 세상에 가장 하기 싫은 힘든 일인데 불러도 그댄 듣지 못하는 세상 끝 어딘 가로 숨었을 테니 안돼요 몇 번을 말렸죠 나 아닌 사랑은 하지 말라며 외우고 다시 또 지우고 중얼대듯 살아요 내 한 뼘도 다 안될 작은 나의 가슴에 그대를 묻고 버리고 다시 또 채우고 숨만 쉬듯 살아요 나 돌아보면 웃고있을 것만 같아서 그대로 있죠 나 돌아보면 웃고있을 것만 같아서 그대로 있죠 -,2005.09.27
핑클 (Fin.K.L),댄스,"더는 신경 쓰지마 사랑 따윈 끝났어 울며 매달리지마 과감하게 벗어나 (이젠 너를 바꿔야해) Everybody 너를 바꿔봐 (oh bring me your love, bring me your love) Anybody 다시 시작해 oh 손을 들어 up 흔들어 let's move 조금씩 내게 (sexy) 널 내게 보여줘 oh 리듬 속에 up 다가와 let's move 모두 잊어가 (sexy) 널 찾을 수 없게 네게로 오는 널 버린 그의 시선을 (이 밤 즐겨봐) 더 자유롭게 날아오르길 바라며 Everybody 이제 느껴봐 Anybody 지금 이 순간 oh 머리위로 up 움직여 let's move 더 가까이 넌 (sexy) 널 멈출 순 없어 oh 높이 들어 up 내게로 let's move 오늘이 바로 (sexy) 널 위한 all night long 네게로 오는 널 사로잡는 시선에 (맘껏 취해봐) 더 자유롭게 날아오르길 바라며 oh 손을 들어 up 흔들어 let's move 조금씩 내게 (sexy) 널 내게 보여줘 oh 리듬 속에 up 다가와 let's move 모두 잊어가 (sexy) 널 찾을 수 없게 -",2005.10.26
조pd (ZoPD),랩/힙합,쓸쓸하던 그 골목을 당신은 기억하십니까지금도 난 기억합니다사랑한다 말 못하고 애태우던 그 날들을당신은 알고 있었습니까철없었던 지난날의 아름답던 그 밤들을 아직도 난 사랑합니다 -영원하게 해주소서 나는 소원 이라며 빌었어 벗 영원은 너무길었어 난 이년후에 널 잃었어 최근에 들어서야 비로소 나는 인연을 다시 믿게 됐어 열셋 열다섯 짜리가 신랑신부가 되었어 지나고 보니 순간이었던 하지만 너는 내게 그 어떤 누구보다 강하게 남았던 기억 넌 그때 어땠니 넌 여름 첨본 그해 그 여름 시원한 바닷바람 너랑 나랑 비추던 햇살과 구름 침묵 뒤 멋적은 웃음 처음 마주치기 작전 다음 말붙이기 작전 떨리는 가슴숨기랴숨쉬기도 힘든 이 마음 너와 함께라면 한여름 에도 가볍기만한 발걸음 주머니 가득 동전 갖고 공중전화 들고 또 침묵 철없었던 지난날의 아름답던 그 밤들을 아직도 난 사랑합니다 무심한 세월은 지나가네 우리는 나이를 먹어가네 한때 죽고살던 너와나 서로 다른 길은 걸어가네 언젠가 눈물나는 날에 난 니가 그리워 헤맸네 기억을 더듬어 찾은 동네 거기엔 추억만이 남았네 이제는 변했어 모든게 내앞에는 서슬 퍼렇게 날 노리는 유혹 함정 고독 어두운 골목 나 비록 숨길수 없는 상처의 긴긴 터널 거쳐 방황의 생활 방탕한 생활 지난 난 내 일의 제왕 내 모든 의무를 다해 난 내일을 향해 가네 책임감에 눌린 어깨를 당당히 펴고 잃어섰네 나 이제 약속해 웃음만 가득한 미래 너무 여린 나의 그대여 머물러줘 내곁에 철없던 사람아 그대는 나의 모든것을 앗으려하나 무정한 사람아 오늘밤도 내일밤도 그리고 그 다음밤도 영원히 난 기다립니다 어릴적 우리 놀던 엄마아빠 놀이 지금은 강아지 두마리 키우는 엄마아빠 노릇 모두 익숙해 오래전 그때 그토록 꿈에- 그리곤 했네- 나는 매일매일- 아침에 제일- 첫 웃음을 너에게 줄래- breakfast-로 콘 프로스트도 못챙겨먹던 네게 구운 토스트와 커피 티  달걀과 요거트 현관에서 잘다녀와 쪽-하면 가벼운 출근길 곧 바로 기다리네 퇴근 꼭 바로 집으로 돌아오는 내꼴그새 찌게 냄새가 폴폴과묵한 나 시시콜콜한 수다 재미가 쏠쏠 결국 잘난 척 마무리 하면 너는 뭐야 하며 날봐 우린 먼길 돌고 돌아 생의 황금기에 만난 이제 우리 사인 갓난 애길 만날 엄마 아빠 사랑한다 사랑한다 사랑한다 너무 사랑한다 우리둘이 만난 그날 부터 우리에겐 늘 기쁜일만 생긴건 아니지만 우리 만들어갈 더많은 나날 동안 우리의  마지막날 행복했었다고 웃게 할께 우리둘이 만난 그날 부터 우리에겐 늘 기쁜일만 생긴건 아니지만 우리 만들어갈 더많은 나날 동안 우리의  마지막날 행복했었다고 웃게 할께 -,2005.09.22
휘성 (Realslow),R&B/Soul,,2005.09.21
에픽하이 (EPIK HIGH),랩/힙합,니가 어딜가도 그누구를 만나도  아니라고 말해도 I Know  니가 어딜가도 그누구를 만나도  아니라고 말해도 I Know  TV를 켰다 끄고 걷다 멈추고  섰다가 눕고 모든게 뭔가 서툴고  시계를 바라보며 눈에  힘주었다가 풀고  날 비웃고 대답이 없는  벽과 다투고  검은 입술에 담배를 물고  라디오 슬픈 노랫말과 입맞추고  아무도 없는 거울 뒤편에  나를 채우고 미소를 겨우 지어내  밤에 부는 칼바람에  먹구름이 찢어질듯  붉은달 바라보면서 점점  미쳐질듯  잊혀질듯 한데 엄지손가락에  지문은  지워질듯 밤새 통화  버튼을 맴도는데  핸드폰에 그대 이름이 떠  떨리는 손에 그대 목소리가 들려  웃으며 온종일 집에 붙어 있었다고  지금 간다고 사랑한다고  But I know  Let it rain let it rain  흐르는 빗물에 흘러내린 눈물에  너의 더러움 모두 씻어줄게  Let it rain Let it rain  웃으며 다가온 너의 위선을  모두 씻어줄게  내리는 이 비에 아무도 모르는  나의 아픔을 묻어둔채  내리는 이 비에 조용히 부서진  너의 거짓을 묻어둘게  I know 알고 있어 말은 못해도  변해버린 네 맘을 오늘도 모레도  돌아오지 않는다는걸 매일  널 보내고  돌아서 꿈속에도 널 쫓아  난 목매고  아픈 내 맘의 눈물로 비를 내리고  비로 너의 과오를 씻으려 손 내밀고  웃으며 감싸도 이 상처는 더 패이고  니 핸드폰에 벨소리는 심장을  더 때리고  하루에 몇 천번씩 끈을 묶어  아님 두 무릎 꿇고 고개를 숙여  어디서부터 우리 뒤틀린건지  대체 뭣땜에 그렇게 이끌린건지  넋이 나간 상태로 나 길을 나서  둘이 돼 갈라진 미소라도  나눠 받을게  입 다물게 너 없인 못사니까  반쪽뿐인 사랑조차 내겐  절실하니까  Let it rain let it rain  흐르는 빗물에 흘러내린 눈물에  너의 더러움 모두 씻어줄게  Let it rain Let it rain  웃으며 다가온 너의 위선을  모두 씻어줄게  내리는 이 비에 아무도 모르는  나의 아픔을 묻어둔채  내리는 이 비에 조용히 부서진  너의 거짓을 묻어둘게  죽을만큼 사랑해 죽을만큼 사랑해 죽을만큼 사랑해 죽을만큼 사랑해 죽을만큼 사랑해 죽을만큼 사랑해 죽을만큼 사랑해 죽을만큼 사랑해 니가 어딜가도 그 누구를  만나도 아니라고 말해도 I know 내리는 이 비에 아무도 모르는  나의 아픔을 묻어둔채  내리는 이 비에 조용히 부서진  너의 거짓을 묻어둘게  내리는 이 비에 너의 거짓을 묻어둘게,2005.10.04
