artist,genre,lyric,date
다이나믹 듀오,랩/힙합,나가자 거리로 행진이 날씨에 일 붙잡고 씨름 하는 건 NG깨워 니 엔진 화끈한 리벤지널 지루하게 만든 일상에게 복수하는 페이지 원 투 오늘은 니가 선두맨 앞에 서서 가 지금 만들어 보자 건 수다같이 연주해 발칙한 변주오늘밤 예술을 만들기 위한 기가 막힌 전주언행이 지나치면 언쟁이 돼경쟁이 지나치면 전쟁이 돼더 이상 컨트롤이 안돼서로 흠만 잡아오늘은 그냥 친구처럼 손만 잡아손대면 터질 것 같은 fever 너무 달렸어 열 좀 식혀머리 위는 카브리올레뚜껑 열어 적정속도아래쪽에 미션 우린 우주의 먼지인 듯 stardust지구위로 던져진 기분 어찌됐건 good afternoon지금은 다 break the rule 물도 사서 마시는 판에 햇빛은 아직 공짜네 alright인사해 good afternoon같이 내려놔 마음 안에grenade이리와 hot한 summertime이리와 hot한 summertime이리와 온라인은 토 나와자리 비움하고 눈부신 선샤인 선샤인 으로나와 good afternoon 산다는 건 산수처럼 쉽지가 않아 계산해 봤자 답 없어 문제집처럼 문제가 많지만 뒤 페이지에도 답 없어 스스로 안 챙기면 절대로 쉬는 날 없어 너 그런 식으로 버티다간 부러져 때로는 너 자신을 위해 구부러져살만해도 먹고 살기 힘들다는 말이 입버릇처럼 나와 게다가찜통 같은 날씨가끔 보도 블락과 나는 바둑판에 바둑알처럼 느껴 우린 너무 전쟁터의 스파르탄 태양과 바람의 콤비 옷은 춤을 춰기관지는 미세먼지를 필터링 해 숨을 쉬어이열 치열 여름날의 cheer up 화끈하게 변태되는 감성의 큰 희열 물도 사서 마시는 판에 햇빛은 아직 공짜네 인사해 good afternoon같이 내려놔 마음 안에 grenade이리와 hot한 summertime이리와 hot한 summertime이리와 온라인은 토 나와자리 비움하고 눈부신 선샤인 선샤인 으로나와 good afternoon이리와 여기로새까만 썬글라스 속에 눈은 아가씨들 허리로 왼쪽 good 오른쪽 good당장 빠지고 싶어 swimming pool 돗자리 자리 돗자리 자리 자리 펴대낮부터 밖에서 have a party돗자리 자리 돗자리 자리 자리 펴같이 내려놔 마음 안에 grenade이리와 hot한 summertime이리와 hot한 summertime alright이리와 온라인은 토 나와자리 비움하고 눈부신 선샤인sunshine baby선샤인sunshine 으로나와 good afternoonYeah Double D와 함께하는 특별한 낮 놀아 낮에 나와 놀아 dynamic한 summer time,2014.06.17
범키,R&B;/Soul,Girl It's been so long우리 처음 만난 그날부터참 오래 걸린 것 같아이렇게 우리 하나 된 날까지So what I've got to giveIs more preciousThan you'll ever see yeah절대 흔들리지 않는 yeah집이 돼줄게힘이 들 땐내 어깨 기대 쉬면 돼걱정하지 마God knows I love you언제나 곁에 있을게변함없는 오래된 친구처럼항상 네 편이 돼줄게What did you do to meCan't stop falling in loveYeah Let's go가끔 다투고또 화도 내지만Oh girl WooSo what I've got to giveIs more preciousThan you'll ever see yeahI promise you집이 돼줄게힘이 들 땐내 어깨 기대 쉬면 돼걱정하지 마God knows I love you언제나 곁에 있을게변함없는 오래된 친구처럼항상 네 편이 돼줄게Want you to knowYes I'm a man for your loveWhat I'm bout to give you is real GirlWon't you put it down on me집이 돼줄게힘이 들 땐내 어깨 기대 쉬면 돼걱정하지 마God knows I love you언제나 곁에 있을게변함없는 오래된 친구처럼항상 네 편이 돼줄게,2014.06.16
팬텀,랩/힙합,오늘따라 외로워이상하게 외로워혼자 있기 싫은 밤이야누구라도 만나 얘기하고파무작정 집을 나서발걸음이 이끈 곳 강남역술에 취한 많은 사람들 중에나만 혼자 무표정이야오늘따라 외로워 숨이 막혀 막괴로워 네가 생각나복에 겨웠지 그땐 정말사랑받는 게 참 당연한줄 알던그때가 참 좋았어되돌릴 순 없을까어느새 네 집 앞에 서성이고 있는 내가 바보 같잖아일과를 마쳤어 해가 떨어질 때쯤여느 때와 같이양손에 쥔 캔맥주5퍼센트 알코올이날 위로 못한대도부족한 내 맘의5프로는 채워줄까 해서현관문 열고 들어가 내 방 곳곳에 깃들여져 있는 허전함이나를 짓눌러 딱히 불행한 건 없었는데 왜 그럴까순탄케 흘러갔는데내 스물 중반의 역사근데 생각나더라 네가웃길 거야 궁상떠는 거 보면이제 와그래 이상하게 오늘따라 외로움이 사라지질 않아사실은 자주 그래 아파오늘따라 외로워 이상하게 외로워혼자 있기 싫은 밤이야누구라도 만나 얘기하고파무작정 집을 나서발걸음이 이끈 곳 강남역술에 취한 많은 사람들 중에나만 혼자 무표정이야오늘따라 외로워 숨이 막혀 막괴로워 네가 생각나복에 겨웠지 그땐 정말사랑받는 게 참 당연한줄 알던그때가 참 좋았어되돌릴 순 없을까어느새 네 집 앞에 서성이고 있는 내가 바보 같잖아거리의 가게들이 문을 닫으면가로등이 하나씩 눈을 감으면세상에 나만 덩그러니남겨져있는 것 같아하필 별이 쏟아지는 밤휘청거리면서 거리로 나서버스정류장 몇 개를 지나쳐너무 익숙한 골목길이 나왔어큰소리로 막 외치고 싶어 나 왔어이 밤이 지나면 아무것도 아닌데너와 함께한 날이 꼭 어제 같은데오늘따라 외로워 이상하게 괴로워혼자있기 싫은 밤이야 다른 누구도 아니야 네가 보고파무작정 집을 나서발걸음이 따라가는 데로 걷다보니 baby어느새 너의 집앞 골목이야 모퉁이는 돌지 않을게오늘따라 외로워 숨이 막혀 막괴로워 네가 생각나복에 겨웠지 그땐 정말사랑받는 게 참 당연한 줄 알던그때 우린 어렸어 되돌릴 순 없을까어느새 나는 네 집 앞에 now,2014.05.19
"신용재, 이해리 (다비치)",발라드,비가 오는 지금 널 생각해한때는 우리 전부였었는데왜 변해간 걸까 우리가 이렇게이제 와서 후회 하고 있는내가 너도 미울까이유 없이 가끔 울어도 보고가끔 어딘가 떠나가고 싶어어쩌다가 들려오는 네 소식에맘이 주저 앉아서 또 난어떡해야 너를 잊을 수가 있을까어떡해야 너를 보낼 수가 있을까아직은 힘들지만너의 빈자리가 있지만계속 나는 지워볼게I like that I like that I like that그때는 좋았는데I like that I like that I like that그때는 좋았는데I like that I like that I like that왜 이런 걸까 우린보낼 수 있다고 믿었어너 없이도 괜찮을 것 같았어근데 너 보내고 내가 괜찮은 건니 생각할 때 뿐 이더라이별은 아는데이유 없이 전활 걸고만 싶고가끔 너의 마지막문자가 생각나 생각나서맘이 주저앉아서 난 또 이렇게어떡해야 너를 잊을 수가 있을까어떡해야 너를 보낼 수가 있을까아직은 힘들지만너의 빈자리가 있지만널 계속 잊어볼게I like that I like that I like that그때가 좋았는데I like that I like that I like that그때는 좋았는데I like that I like that I like that어떡해야 너를 잊을 수가 있을까어떡해야 너를 보낼 수가 있을까너무나 힘들지만니가 빈자리가 너무 커어떻게 해야 할까,2014.06.18
VIXX (빅스),댄스,Look Love is a nightmare Time'sover기적은 내게 와주었어첨부터 우린 시작되었어너의 모든 것을전부 알고 있기에 난 자신이 있어yeah차가워 기분 탓이겠지낯설어 그게 난 상관없어고마워 이렇게 내게 돌아온 거하나면 돼나 사랑하지너무 두렵고 끔찍한 악몽을 꿨어네가 나를 막 떠나갔어 영원히네가 들어도 말 안 되는 꿈이잖아널 내가 잃을 리 없을 텐데일초도 떨어지지만 말아다오아니 내가 널 안 놓을게사소한 거 이젠 내가 다 받아줄게나 사랑하지너무 두렵고 끔찍한 악몽을 꿨어네가 나를 막 떠나갔어 영원히네가 들어도 말 안 되는 꿈이잖아널 내가 잃을 리 없을 텐데네가 떠난 나의 모습은 꿈속이라도싫어 난네가 나의 곁에만 있다면악몽이라도 좋아 난갑자기 흐려지는 너아무런 말도 나오질 않는 나눈 뜨기가 두려워 지금너에게 갈래 다시 나 잠들래네가 없는 현실 네가 도망가는 꿈속마치 뫼비우스의 띠처럼 돌고 또도는 우리 둘역시 넌 다시 나를 떠나려고 한다뒤돌자마자 네 팔을 붙잡아갈 테면 가봐 널 향해 두근대는내 심장밟고 떠나가봐 Right now너무 달아서 끔찍한 악몽을 꿨어우리 첨부터 모든 것을 시작한여기 넌 없어 모든 게 다 그대로야날 네가 떠나던 찰나의 꿈잔인한 밤이 끝없이 날 찾아오고있어다시 눈을 감아본다 다시 나를 그꿈속으로다시는 깨지 않을 영원한 꿈속으로,2014.05.27
"15& (박지민, 백예린)",R&B;/Soul,달콤한 whipped cream에 식어버린 커피는 섞이지 않아 꿀 바른 내 맘은 말라붙은 니 맘 같지는 않아 달라도 너무 달라 가깝고도 먼 우리 둘 사이 조심스레 한 스푼 떠 넣어 그리고 잘 저어 니 맘 흔들어 흔들어 그대여 내게 맘을 열어요 쓰디 쓴 사랑에 이젠 지쳐 Give me some sugar 하얗게 내려줘요 Ooh ooh ooh Sugar 네 맘을 녹여볼래 Ooh ooh ooh Hey boy show me how you shake it Hey boy show me how you shake it Hey boy show me how you Hey boy show me how you Ah 고요한 네 맘에 설탕폭탄 터지듯 퍼져 들어가 캄캄한 네 속을 새하얗게 덮어 나만 밟을래 Sweetie oh my sweetie 내 사랑은 아직 쓰기만해요 더도 말고 한 스푼이면 돼 농도를 잘 맞춰 너무 달지 않도록 점점 더 달달해져 둘이서 짜릿해 Two of us 사랑을 뿌려줘요 Give me some sugar 하얗게 내려줘요 Ooh ooh ooh Sugar 네 맘을 녹여볼래 Ooh ooh ooh Hey boy show me how you shake it Hey boy show me how you shake it Hey boy show me how you Hey boy show me how you AhBaby one more time Baby one more time yeah 그 대 는 정 말 달 아 요 더 이 상 걱 정 말 아 요 Sugar샬랄라라라라라Kiss me Imma try to tell you something 다른 사람한텐 맘이 닫힌 나인데 너한텐 내 맘을 다 갖다 바칠 사실을 알면 참 달걸 캬라멜 같이 달콤할걸 sweet 한 걸 좋아하면 Baby I'm your sugar girl Give me some sugar 하얗게 내려줘요 Ooh ooh ooh Sugar 네 맘을 녹여볼래 Ooh ooh ooh Give me some sugar하얗게 내려줘요Ooh ooh oohSugar네 맘을 녹여볼래Ooh ooh oohHey boy show me how you shake itHey boy show me how you shake itHey boy show me how youHey boy show me how youAh,2014.05.26
이승철,"발라드, 국내드라마",날 기억할까 세월 빠르지 날이 가고 또 해가 이만큼 시간 지난 만큼 내 머릿속 그 아픈 기억도 무색해져 근데 이상해 여기가 아파 아픈 채로 참고 살고 있어 눈물로도 그날 지우지 못해 그 아픈 기억 못 버린 채 난 사랑 따윈 No 눈물 따윈 No 그리움 따윈 No 내겐 안 어울려 난 그런데도 널 잡아보려 널 난 몰라 아직 사랑하나 봐 사랑하나 봐 또 이른 새벽 잠에서 깼어 혼자인 내가 익숙한데도 흘린 눈물만큼 더 커져가는 그 아픈 기억 못 버린 채 난 사랑 따윈 No 눈물 따윈 No 그리움 따윈 No 내겐 안 어울려 난 그런데도 널 잡아보려 널 난 몰라 아직 사랑하나 봐 문밖의 발걸음 소리 혹시 너야 외치며 달려 나가 이 거리 윈 니가 남겨 논 이 향기가 날 또 울려 이 사랑 따윈 No 눈물 따윈 No 그리움 따윈 No 내겐 안 어울려 난 그렇게도 널 잡아보려 널 난 몰라 아직 이 사랑 따윈 눈물 따윈 No 그리움 따윈 No 내겐 안 어울려 난 그런데도 널 잡아보려 널 난 몰라 아직 사랑하나 봐 사랑하나 봐사랑하나 봐 사랑하나 봐 ,2014.06.05
"김보경 (NEON), 펀치 (Punch)",랩/힙합,지금 술 한잔 했어 다 잊고 싶어서그 사람을 사랑을 잊고 싶어서remember day 이 나쁜 사랑 지켜준다내게 말해놓고아무리 마셔 봐도 취하지가 않아쓰디쓴 독주라도 쓰러지지 않아druken sailor while I can fight니 추억과 또 싸워 alright너의 이별은 누구보다 세아파아파 나를 미치도록 쳐비틀비틀 휘청이게 몰아쳐그래서 난 아파 미쳐추억을 지우려고 술을 마시네마셔도 마셔 봐도 취하진 않네멍하니 방구석에 앉아 가만히네 사진을 보네가끔 너와 헤어짐을 떠올리며난 후회해술한잔 또 마셨어 다 잊고 싶어서그 사람을 사랑을 잊고 싶어서remember day이 슬픈 사랑 지켜준다내게 말해놓고너의 집은 가까운데네 마음은 멀어 멀어너를 보면 좋았는데이젠 내 맘이 아퍼 아퍼네 얼굴을 가슴에 새기길 수천번베개에 얼굴을 파묻고 소리쳐그래도 그대 내게 돌아오지 않아이미 네가 없는 하루가 또 지나이토록 죽을 만큼 아픈 적 없어가슴이 찢긴 듯이 슬픈 적 없어사랑 이별 추억 미련그 무엇도 내겐 중요하지 않아네가 없인 내겐 의미있지 않아i need u but i hate u술 한잔 또 마셨어 다 잊고 싶어서그 사람을 사랑을 잊고 싶어서remember day이 슬픈 사랑 지켜준다 내게 말해놓고슬픈 사랑이 날 무너지게 해저 바람소리마저 나를 울게 만드네그 사랑이 날 아프게 하네remember day이 미친 사랑 지켜준다내게 말했잖아너에게 난 달려가널 볼 수 있는 건 아냐네가 보고 싶어서난 버틸 자신이 없어너에게 난 달려가널 볼수있는건 아냐니가 보고 싶어서난 오늘도 하늘을 봐,2014.05.22
오렌지 캬라멜,댄스,너무 더운 날이야 너 오늘 따라 너무 늦는 거야 No 불 한증막 싸 싸우나 같아 싸 싸우자는 거야  땀은 삐질 삐질 더워 기진맥진 오 베리 베리 스트로베리로 스트레스 따윈 날려 바닐라 빙수로 여름 더위 따윈 날려 배배 배라로 달려 으슬으슬 시원함을 참을 수 없어 아삭 아삭 아삭 시원해서 아빙 아빙 바싹 바싹 더운 올 여름엔 아빙 아빙  손에 손잡고 스푼 들고서 써써써 써리원 아빙 빙 정들겠어 정들겠어 정들겠어 아 아 아 아이스크림 빙수 반하겠어 반하겠어 사실은 말야 뭐 엄마는 외계인인 가봐 뭐 더위 따윈 안타는 것 같아 타 비결이 뭘까 아빙인가봐 흥 나 몰래 먹나 봐 Ah 오 매일 매일 나 나 난 고민해  쿠앤크 빙수 먹을까 참 우유부단해 자꾸 자꾸 생각이나  배라로 달려  워 시원함을 참을 수 없어 아삭 아삭 아삭 시원해서 아빙 아빙 바싹 바싹 더운 올 여름엔 아빙 아빙  손에 손잡고 스푼 들고서 써써써 써리원 아빙 빙 정들겠어 정들겠어 정들겠어 아 아 아 아이스크림 빙수 반하겠어 반하겠어 꿈처럼 사라져 버린 걸까 아름다운 시간이었어정들겠어아삭 아삭 아삭시원해서 아빙 아빙바싹 바싹 더운올 여름엔 아빙 아빙손에 손잡고 스푼 들고서써써써 써리원 아빙 정들겠어 정들겠어바닥이 보이네 손이 바빠지네스르르르륵 녹여줘 아빙 아빙,2014.05.20
태양,R&B;/Soul,Your body's so beautiful Your body's so beautiful Your body's so beautiful Your body's so beautiful Your body's so beautiful Your body's so beautiful 아름다워  네 가슴 허리 엉덩이 발끝까지  모두 예뻐 네 몸짓 손짓 눈빛 모든 게 눈부셔 I got that body You got that body Now you and me lets make somebody I got that body  You got that body Now you and me lets make somebody My 머리 어깨 무릎 발 It’s better than yours 매일 만나도 난 여전히 설레 새하얀 피부 결이 날 애타게 해 그 어떤 누가 봐도 넌 Sexy lady 내 꺼 라는 게 믿겨지지 않아 난 오늘도 널 감상해 이렇게 매일 밤 날 미치게 해 더 무슨 말이 필요해 너 하나면 충분해  now you got me singin’  Never seen a girl like you You make me go Cause I ain't never seen a body like yours You make me go I got that body You got that body Now you and me lets make somebody I got that body  You got that body Now you and me lets make somebody My 머리 어깨 무릎 발 It’s better than yours 자꾸 쳐다봐도 아직도 놀래 너의 그 완벽함이 날 춤추게 해 성격을 닮은듯한 도도한 몸매 널 보면 내 body 는 쭉뻗은 너의 긴다리와 잘록하게 예쁜 허리선 향기로운 갈색 머릿결 나를 살아 숨쉬게 해 Your body's so beautiful Your body's so beautiful Your body's so beautiful Your body's so beautiful Your body's so beautiful I got that bodyYou got that bodyNow you and me lets make somebodyI got that body You got that bodyNow you and me lets make somebody아름다워 Now you and me lets make somebody모두 예뻐Now you and me lets make somebody,2014.06.03
